ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,P12AWN,P12AWN,,LG,0.02,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.86,3.48,3.5,236.0,0.0,,,296.0,0.87,4.0,Calorimeter Room,4.1474,4.5923,True,,,1.89,1.89,0.0,0.0,,,,4.11639580228285,4.55908389551104,,,3.7328,4.6182,3.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82057,2019-07-18,,Approved,Reverse Cycle,885.0,Class 3,True,True,False,True,True,True,,4.1474,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,P12AWN-NM14/P12AWN-UM14,P12AWN,,LG,0.02,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.86,3.48,3.5,236.0,0.0,,,296.0,0.87,4.0,Calorimeter Room,4.1474,4.5923,True,,,1.89,1.89,0.0,0.0,,,,4.11639580228285,4.55908389551104,,,3.7328,4.6182,3.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82057,2019-07-18,,Approved,Reverse Cycle,885.0,Class 3,True,True,False,True,True,True,,4.1474,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,S12AWN-NM14/P12AWN-UM14,P12AWN,,LG,0.02,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.86,3.48,3.5,236.0,0.0,,,296.0,0.87,4.0,Calorimeter Room,4.1474,4.5923,True,,,1.89,1.89,0.0,0.0,,,,4.11639580228285,4.55908389551104,,,3.7328,4.6182,3.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82057,2019-07-18,,Approved,Reverse Cycle,885.0,Class 3,True,True,False,True,True,True,,4.1474,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,P18AWN,P18AWN,,LG,0.3,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,1.24,4.7,5.0,248.0,0.0,,,330.0,1.4,6.0,Calorimeter Room,4.0649,4.3502,True,,,1.885,1.885,0.0,0.0,,,,4.04425707125155,4.33053414252335,,,3.5885,4.1611,3.5,4.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82058,2019-07-22,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,4.0649,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,P18AWN-N214/P18AWN-U214,P18AWN,,LG,0.3,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,1.24,4.7,5.0,248.0,0.0,,,330.0,1.4,6.0,Calorimeter Room,4.0649,4.3502,True,,,1.885,1.885,0.0,0.0,,,,4.04425707125155,4.33053414252335,,,3.5885,4.1611,3.5,4.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82058,2019-07-22,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,4.0649,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,S18AWN-N214/P18AWN-U214,P18AWN,,LG,0.3,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,1.24,4.7,5.0,248.0,0.0,,,330.0,1.4,6.0,Calorimeter Room,4.0649,4.3502,True,,,1.885,1.885,0.0,0.0,,,,4.04425707125155,4.33053414252335,,,3.5885,4.1611,3.5,4.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82058,2019-07-22,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,4.0649,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,P24AWN,P24AWN,,LG,1.4,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,1.95,5.6,7.0,248.0,0.0,,,330.0,2.06,8.0,Calorimeter Room,3.6052,3.9177,True,,,1.97,1.97,0.0,0.0,,,,3.5929727759723,3.90506219710533,,,2.6859,3.3101,2.5,3.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82059,2019-07-18,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,3.6052,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2.5_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,P24AWN-N214/P24AWN-U214,P24AWN,,LG,1.4,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,1.95,5.6,7.0,248.0,0.0,,,330.0,2.06,8.0,Calorimeter Room,3.6052,3.9177,True,,,1.97,1.97,0.0,0.0,,,,3.5929727759723,3.90506219710533,,,2.6859,3.3101,2.5,3.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82059,2019-07-18,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,3.6052,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2.5_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,S24AWN-N214/P24AWN-U214,P24AWN,,LG,1.4,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,1.95,5.6,7.0,248.0,0.0,,,330.0,2.06,8.0,Calorimeter Room,3.6052,3.9177,True,,,1.97,1.97,0.0,0.0,,,,3.5929727759723,3.90506219710533,,,2.6859,3.3101,2.5,3.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82059,2019-07-18,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,3.6052,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2.5_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AQV09TWQN/AQV09TWQX,,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.6,2.4,2.5,190.0,0.0,,,285.0,0.7,3.2,Calorimeter Room,4.5109,4.5665,True,85.48,,1.68,1.68,4.95393338058115,5.09973980919341,,,,4.46493893254607,4.52928198749775,,,4.4299,4.5586,4.0,4.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",82097,2019-07-21,,Approved,Reverse Cycle,890.0,Class 3,True,True,,True,True,True,,4.5109,Unavailable,,,,http://www.samsung.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_4_4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,MON3H076 - MINHW026 x 3,,,Brivis,0.75,Non Ducted,Multiple split - Fixed head,,Air,Air,China,2.3,6.95,7.7,,0.0,,,,2.26,8.2,Enthalpy Test Room,3.358,3.7337,True,,,18.0,20.0,0.0,0.0,,,,3.26977242487602,3.62031797359202,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",82116,2019-07-17,,Approved,Reverse Cycle,,Class 9,True,,False,True,True,True,,3.358,Available,,,http://www.brivis.com.au/,http://www.brivis.com.au/,True,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,MON2H053 - MINHW026 x 2,,,Brivis,0.79,Non Ducted,Multiple split - Fixed head,,Air,Air,China,1.57,4.51,5.3,,0.0,,,,1.6,5.8,Enthalpy Test Room,3.5793,3.6085,True,,,12.0,14.0,0.0,0.0,,,,3.48354169963602,3.50478643277127,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",82123,2019-07-17,,Approved,Reverse Cycle,,Class 9,True,,,True,True,True,,3.5793,Available,,,http://www.brivis.com.au/,http://www.brivis.com.au/,True,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,LNINV8010-D,,,LENNOX,2.178,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.46,5.822,8.0,,0.0,,,,2.55,8.4,Calorimeter Room,3.1148,3.2496,True,87.6,,5.0,5.0,3.75251141552511,4.01623083859333,,,,3.09420204633659,3.22846470792098,,,1.6884,1.9569,1.5,1.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82126,2019-08-06,,Approved,Reverse Cycle,,Class 4,True,True,False,True,True,True,,3.1148,Unavailable,,,http://www.gree.com/,http://www.lennoxaus.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_1.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,LNINV6310-D,,,LENNOX,1.725,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.93,4.575,6.3,,0.0,,,,1.93,6.3,Calorimeter Room,3.2103,3.0979,True,84.2,,5.0,5.0,3.48214285714286,3.62386363636364,,,,3.18226499042889,3.071934254171,,,1.8645,1.6439,1.5,1.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82128,2019-08-06,,Approved,Reverse Cycle,,Class 4,True,True,False,True,True,True,,3.2103,Unavailable,,,http://www.gree.com/,http://www.lennoxaus.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_1.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,MON4H078 - MINHW020 x 4,,,Brivis,0.85,Non Ducted,Multiple split - Fixed head,,Air,Air,China,2.33,6.95,7.8,,0.0,,,,2.35,8.5,Enthalpy Test Room,3.4373,3.6389,True,,,18.0,20.0,0.0,0.0,,,,3.34606863104272,3.53499957780968,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",82131,2019-07-18,,Approved,Reverse Cycle,,Class 9,True,,,True,True,True,,3.4373,Available,,,http://www.brivis.com.au/,http://www.brivis.com.au/,True,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,WIHPD1-09EW4A2/WCHPD1-09EW4A2,,,Westinghouse,0.24,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.66,2.26,2.5,165.0,0.0,,,290.0,0.686,2.65,Calorimeter Room,3.7762,3.8943,True,,,0.7,6.43,0.0,0.0,,,,3.76228237854829,3.76889598173145,,,3.0246,3.0378,3.0,3.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82145,2019-07-06,,Approved,Reverse Cycle,850.0,Class 3,False,,False,,,,,3.7762,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AQV12TWQN/AQV12TWQX,,,SAMSUNG ELECTRONICS,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,0.92,3.0,3.5,190.0,0.0,,,285.0,0.99,4.0,Calorimeter Room,3.823,4.0375,True,87.06,,1.68,1.68,4.6748851824994,4.91386925795053,,,,3.79959217782566,4.01440628332734,,,3.0992,3.5288,3.0,3.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",82151,2019-07-21,,Approved,Reverse Cycle,890.0,Class 3,True,True,,True,True,True,,3.823,Unavailable,,,,http://www.samsung.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3_3.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AQV18TWQN/AQV18TWQX,,,SAMSUNG ELECTRONICS,1.1,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,1.4,3.9,5.0,298.0,0.0,0.0,0.0,225.0,1.66,6.0,Calorimeter Room,3.5313,3.5476,True,86.12,,1.68,1.68,4.66303607896528,4.25595238095238,,,,3.51691556195041,3.53532014517539,,,2.5338,2.5706,2.5,2.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",82158,2019-07-21,,Approved,Reverse Cycle,1065.0,Class 4,True,True,,True,True,True,,3.5313,Unavailable,,,,http://www.samsung.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2.5_2.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AQV24TWFN/AQV24TWFX,,,SAMSUNG ELECTRONICS,1.85,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.1,4.95,6.8,298.0,0.0,,,225.0,2.42,8.0,Calorimeter Room,3.3649,3.3032,True,85.9,,1.68,1.68,4.60090540862521,4.3756126249755,,,,3.3553742373969,3.29527919436745,,,2.2107,2.0906,2.0,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82167,2019-07-23,,Approved,Reverse Cycle,1065.0,Class 4,True,True,,True,True,True,,3.3649,Unavailable,,,,http://www.samsung.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AQV30TWFN/AQV30TWFX,,,SAMSUNG ELECTRONICS,2.3,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.47,5.7,8.0,298.0,0.0,,,225.0,2.72,9.0,Calorimeter Room,3.2982,3.3137,True,84.53,,1.68,1.68,4.15413533834586,4.33952301328874,,,,3.29054503048084,3.30662046819437,,,2.0811,2.1132,2.0,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82168,2019-07-22,,Approved,Reverse Cycle,1065.0,Class 4,True,True,,True,True,True,,3.2982,Unavailable,,,,http://www.samsung.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,MON5H105 - MINHW020 x 5,,,Brivis,1.3,Non Ducted,Multiple split - Fixed head,,Air,Air,China,3.08,9.2,10.5,,0.0,,,,3.22,11.6,Enthalpy Test Room,3.4197,3.7404,True,,,24.0,25.0,0.0,0.0,,,,3.33118425084261,3.64091266719119,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",82169,2019-07-18,,Approved,Reverse Cycle,,Class 10,True,,,True,True,True,,3.4197,Available,,,http://www.brivis.com.au/,http://www.brivis.com.au/,True,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,DINXU17Z7 / DONSC17Z7,,,Brivis,3.1,Ducted,Single Split System,,Air,Air,"Australia,China",5.16,13.4,16.5,777.0,0.0,,,549.0,,,Enthalpy Test Room,3.199,0.0,True,,,9.52,,0.0,0.0,,,,3.17911647502679,0.0,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",82174,2019-07-06,,Approved,Cooling Only,748.0,Class 7,False,,False,,,,,3.199,Available,,,http://www.brivis.com.au/,http://www.brivis.com.au/,True,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,WIHPD1-12EW4A2/WCHPD1-12EW4A2,,,Westinghouse,0.36,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.91,3.14,3.5,200.0,0.0,,,295.0,0.91,3.5,Calorimeter Room,3.8915,3.9706,True,,,0.7,6.43,0.0,0.0,,,,3.88085208310781,3.8715965225148,,,3.2617,3.2432,3.0,3.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82193,2019-07-04,,Approved,Reverse Cycle,995.0,Class 3,False,,False,,,,,3.8915,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,WIHPD1-18EW4A2/WCHPD1-18EW4A2,,,Westinghouse,0.46,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.47,4.64,5.1,221.0,0.0,,,320.0,1.38,5.5,Calorimeter Room,3.548,4.0153,True,,,1.0,6.43,0.0,0.0,,,,3.53966337815149,3.9496638950334,,,2.5793,3.3993,2.5,3.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",82194,2019-07-06,,Approved,Reverse Cycle,1084.0,Class 4,False,,False,,,,,3.548,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2.5_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,WIHPD1-24EW4A2/WCHPD1-24EW4A2,,,Westinghouse,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.94,6.2,6.7,221.0,0.0,,,320.0,2.0,7.3,Calorimeter Room,3.4721,3.5939,True,,,0.7,6.43,0.0,0.0,,,,3.46766675642014,3.55480606474555,,,2.4353,2.6096,2.0,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82195,2019-07-08,,Approved,Reverse Cycle,1084.0,Class 4,False,,False,,,,,3.4721,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,WIHPD1-28EW4A2/WCHPD1-28EW4A2,,,Westinghouse,1.71,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.35,6.19,7.9,340.0,0.0,,,258.0,2.42,8.25,Calorimeter Room,3.2261,3.2505,True,,,1.0,6.43,0.0,0.0,,,,3.22156834761877,3.22212093910903,,,1.9431,1.9442,1.5,1.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82196,2019-07-25,,Approved,Reverse Cycle,1186.0,Class 4,False,,False,,,,,3.2261,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_1.5.png
AS/NZS 3823.2:2013 [Non Multi-Split],NZ MEPS April 2013,AS/NZS 3823.1.1:2012,42NQV050M-A/38NYV050M-A,,,Carrier,1.8,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,1.51,3.2,5.0,243.0,0.0,,,320.0,1.61,5.8,Calorimeter Room,3.411,3.735,True,,,6.9,6.9,5.37777777777778,4.76923076923077,,,,3.35640057624619,3.6808549531748,,,2.2128,2.8617,2.0,2.5,Calorimeter Room,Single,R410A,"Fiji,New Zealand",82210,2114-07-07,,Approved,Reverse Cycle,1050.0,Class 4,False,,False,,,,,3.411,Available,,,http://www.ahi-carrier.co.nz/,http://www.ahi-carrier.co.nz/,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJT040LCLAH,,,FUJITSU,1.81,Non Ducted,Multiple split - VRF,,Air,Air,China,3.53,10.29,12.1,,0.0,,,,3.18,13.6,Enthalpy Test Room,3.4174,4.2262,True,,,33.99,34.28,0.0,0.0,,,,3.31035352187317,4.08049543415353,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",82224,2019-07-09,,Approved,Reverse Cycle,,Class 10,False,,False,,,,,3.4174,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJT045LCLAH,,,FUJITSU,1.97,Non Ducted,Multiple split - VRF,,Air,Air,China,4.33,12.03,14.0,,0.0,,,,4.03,16.0,Enthalpy Test Room,3.2427,3.8701,True,70.8,,33.82,34.09,5.43583902809415,0.0,,,,3.15553334960194,3.76566512242556,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",82226,2019-07-10,,Approved,Reverse Cycle,,Class 10,False,,False,,,,,3.2427,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJT054LCLAH,,,FUJITSU,2.22,Non Ducted,Multiple split - VRF,,Air,Air,China,4.7,12.88,15.1,,0.0,,,,4.23,16.5,Enthalpy Test Room,3.1935,3.8178,True,70.5,,34.09,33.99,5.25311203319502,0.0,,,,3.11358843791453,3.71907751205154,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",82228,2019-07-17,,Approved,Reverse Cycle,,Class 10,False,,False,,,,,3.1935,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,P28AWN,P28AWN,,LG,1.84,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,2.45,6.16,8.0,248.0,0.0,,,330.0,2.5,9.0,Calorimeter Room,3.3144,3.7106,True,,,1.97,1.97,0.0,0.0,,,,3.30543883224679,3.70043650616716,,,2.1109,2.9009,2.0,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82393,2019-07-18,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,3.3144,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,P28AWN-N214/P28AWN-U214,P28AWN,,LG,1.84,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,2.45,6.16,8.0,248.0,0.0,,,330.0,2.5,9.0,Calorimeter Room,3.3144,3.7106,True,,,1.97,1.97,0.0,0.0,,,,3.30543883224679,3.70043650616716,,,2.1109,2.9009,2.0,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82393,2019-07-18,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,3.3144,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,S28AWN-N214/P28AWN-U214,P28AWN,,LG,1.84,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,2.45,6.16,8.0,248.0,0.0,,,330.0,2.5,9.0,Calorimeter Room,3.3144,3.7106,True,,,1.97,1.97,0.0,0.0,,,,3.30543883224679,3.70043650616716,,,2.1109,2.9009,2.0,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",82393,2019-07-18,,Approved,Reverse Cycle,1090.0,Class 4,True,True,False,True,True,True,,3.3144,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,42QHF025 + 38QHF025,,,Carrier,0.29,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.61,2.23,2.52,,0.0,,,,0.68,2.7,Calorimeter Room,4.0288,3.9208,True,,,0.7,2.0,0.0,0.0,,,,4.01360609277519,3.88233927638074,,,3.5272,3.2647,3.5,3.0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",82456,2019-07-18,,Approved,Reverse Cycle,,Class 3,False,,False,,,,,4.0288,Available,,,http://www.midea.com.cn/,http://www.ahi-carrier.com.au/,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,42QHF036 + 38QHF036,,,Carrier,0.4,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.88,3.2,3.6,,0.0,,,,0.95,3.8,Calorimeter Room,4.1254,4.0355,True,,,0.7,2.0,0.0,0.0,,,,4.11451853208632,4.00721422944567,,,3.729,3.5144,3.5,3.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",82458,2019-07-23,,Approved,Reverse Cycle,,Class 3,False,,False,,,,,4.1254,Available,,,http://www.midea.com.cn/,http://www.ahi-carrier.com.au/,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_3.5.png
